customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST000001,Male,0,Yes,No,14,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,105.97,1502.26,Yes
CUST000002,Female,0,Yes,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),38.22,1252.5,No
CUST000003,Male,0,Yes,No,44,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,89.31,3916.0,Yes
CUST000004,Male,0,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Mailed check,91.83,1560.96,Yes
CUST000005,Male,0,Yes,Yes,21,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),88.55,1825.27,Yes
CUST000006,Female,0,Yes,Yes,21,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Mailed check,70.55,1382.77,No
CUST000007,Male,1,No,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,36.07,439.92,Yes
CUST000008,Male,0,No,No,21,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,53.14,1078.03,No
CUST000009,Male,1,No,No,5,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),86.56,349.27,Yes
CUST000010,Female,0,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),38.29,744.87,No
CUST000011,Male,0,No,Yes,20,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),73.34,1516.42,No
CUST000012,Male,0,No,No,23,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,108.96,2476.31,No
CUST000013,Male,1,No,No,35,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),67.56,2345.69,No
CUST000014,Male,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),102.46,888.21,Yes
CUST000015,Female,0,Yes,No,9,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),77.9,663.65,No
CUST000016,Male,0,Yes,No,12,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Credit card (automatic),86.14,1064.6,Yes
CUST000017,Female,0,No,Yes,7,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,81.27,483.53,No
CUST000018,Female,0,No,No,38,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.12,2578.21,Yes
CUST000019,Female,1,Yes,No,15,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Electronic check,86.92,1293.15,Yes
CUST000020,Male,0,No,No,24,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,95.22,2345.77,Yes
CUST000021,Female,0,Yes,No,11,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),85.13,890.77,No
CUST000022,Male,0,No,Yes,18,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),85.42,1491.32,No
CUST000023,Female,1,Yes,Yes,31,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),84.86,2644.29,No
CUST000024,Female,1,Yes,No,32,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,74.27,2398.21,No
CUST000025,Female,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,119.0,1138.21,Yes
CUST000026,Female,0,Yes,Yes,23,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,65.97,1491.29,Yes
CUST000027,Female,0,Yes,Yes,12,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,86.88,1096.91,No
CUST000028,Female,0,Yes,No,22,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,97.67,2089.8,Yes
CUST000029,Female,0,No,Yes,14,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),82.28,1169.06,Yes
CUST000030,Female,1,No,No,72,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,85.76,6148.87,Yes
CUST000031,Male,0,Yes,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),38.93,1783.04,No
CUST000032,Male,1,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.34,865.31,No
CUST000033,Female,1,No,Yes,19,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),85.09,1660.81,No
CUST000034,Female,0,Yes,Yes,45,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),106.5,4765.59,Yes
CUST000035,Female,0,Yes,No,23,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,66.61,1573.28,No
CUST000036,Male,1,Yes,No,72,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),67.74,4917.38,No
CUST000037,Female,1,Yes,No,48,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),100.18,4834.76,Yes
CUST000038,Male,0,No,Yes,18,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),88.46,1578.21,No
CUST000039,Male,0,Yes,No,69,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),79.25,5476.56,Yes
CUST000040,Male,0,No,No,20,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Electronic check,90.94,1726.21,Yes
CUST000041,Male,1,No,No,72,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),87.18,6364.98,Yes
CUST000042,Male,0,Yes,No,71,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),77.35,5461.69,Yes
CUST000043,Female,0,No,No,31,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,97.39,3002.2,Yes
CUST000044,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,92.87,398.45,Yes
CUST000045,Female,0,No,Yes,29,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),88.5,2600.07,Yes
CUST000046,Female,0,Yes,No,9,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,95.26,883.78,Yes
CUST000047,Female,0,No,Yes,14,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),73.12,1008.97,No
